{'id': '1304daa3-c591-464e-adbc-192538de2e40', 'idHomeTeam': '31c88261-1efd-444e-95ac-b7c1cd034bfd', 'idAwayTeam': 'd18b547a-3e55-4ead-a73a-6ee9af05c761', 'idStadium': '3db1375b-a28f-4908-9878-ec0fe5a5587f', 'date': '2024-06-14'}
{'id': 'cabaac15-4c29-4ce0-882f-fb38d9904212', 'idHomeTeam': 'b32c045d-8217-44d5-94be-a19beffbaefa', 'idAwayTeam': '05feedec-06d4-4a90-b7cb-ed7de55d8ec2', 'idStadium': '85bf8f3a-4bb8-413e-8bf6-d577178b1eb7', 'date': '2024-06-22'}
{'id': '2179e0ba-05b4-4ec4-b6a7-c369ad4ab681', 'idHomeTeam': 'f3d792fb-e07d-46ed-a1d4-ca24a876fcbf', 'idAwayTeam': '547fc83b-b29d-4480-9ac5-f7cfeb3c02d2', 'idStadium': '2a3ea87b-3c46-4181-8409-56150ba3c962', 'date': '2024-06-22'}
{'id': '1f01ca84-df45-4aaa-bfe6-1083e609ab64', 'idHomeTeam': 'efc26f34-0d00-4fdb-a958-ccd8d0840a4b', 'idAwayTeam': '31c88261-1efd-444e-95ac-b7c1cd034bfd', 'idStadium': '92940c44-15af-44a9-9fd4-480d0d865e27', 'date': '2024-06-23'}
{'id': '3c82ad8d-97e3-4eaf-b4fa-edf7afd623fc', 'idHomeTeam': 'd18b547a-3e55-4ead-a73a-6ee9af05c761', 'idAwayTeam': '68005e74-10e2-410e-8d60-d88e6c0df198', 'idStadium': '2ae81544-c13f-442f-b332-6887628e9d6a', 'date': '2024-06-23'}
{'id': 'bc4bdbbd-5260-4a3f-9bac-5e190f762527', 'idHomeTeam': '4feec068-cc48-4c57-bca0-d06e3ec242c2', 'idAwayTeam': '0015bd66-71ce-4869-9d9b-be8b12914dcd', 'idStadium': '2eead114-7627-45c4-83ab-ee3d66a6c62f', 'date': '2024-06-24'}
{'id': '6072eaf8-3aed-4629-a8ce-13d2b6a5ac91', 'idHomeTeam': 'ef03f03e-872c-4bb4-bb95-203d8f072294', 'idAwayTeam': 'eee64995-57ba-4261-be76-4faf9c808fd8', 'idStadium': '92940c44-15af-44a9-9fd4-480d0d865e27', 'date': '2024-06-24'}
{'id': '87a5fa89-4547-48be-a71c-7b6ed9383eb0', 'idHomeTeam': '83fd7deb-7d30-4a43-83e8-0d08aa9635e4', 'idAwayTeam': 'd835ce6e-600a-4e7f-8393-45c1866ae50d', 'idStadium': '2eead114-7627-45c4-83ab-ee3d66a6c62f', 'date': '2024-06-25'}
{'id': 'efa89435-8ae0-411a-9b07-bcb70c75d5d1', 'idHomeTeam': '0b01202a-4057-480b-856b-a1576d7572ba', 'idAwayTeam': 'e7ce4f61-c890-48a6-b5f7-a5cd59460c5a', 'idStadium': '50542213-b8e8-400e-8353-4e3b3cfa8144', 'date': '2024-06-25'}
{'id': 'cfbc77f6-5087-438e-9d3c-9a5218ef8f4d', 'idHomeTeam': '03404239-f8f5-4c70-90bf-c13d8c52a0be', 'idAwayTeam': 'adb63c2e-f2f9-4e83-b5cd-4c5f66133071', 'idStadium': '53fa70dc-06c9-42a8-a4fd-9a02c0411704', 'date': '2024-06-25'}
{'id': '3910059e-03e1-417d-839e-0ec9d1308be4', 'idHomeTeam': 'f37bc54f-939b-4f4d-aee8-dd3537436e3c', 'idAwayTeam': '4c5da816-f99a-4e38-bb5f-5230952b1d30', 'idStadium': '3181b7d7-77cc-42a8-96c9-ab6c18e282ae', 'date': '2024-06-25'}
{'id': 'b4008016-ceed-406f-8693-4fbc4c315dfb', 'idHomeTeam': 'a2a1e781-c159-4b47-a2f6-b62a543bb150', 'idAwayTeam': 'ee32c6a4-8709-466a-8c34-e6ea6eb765e0', 'idStadium': '50542213-b8e8-400e-8353-4e3b3cfa8144', 'date': '2024-06-26'}
{'id': '308f9bff-1692-4992-8bd6-0ef03e95f0e3', 'idHomeTeam': 'ddc0954e-815f-4cb9-b396-8ec0124894c5', 'idAwayTeam': '07b741db-b268-45a7-86f0-c5111632e21d', 'idStadium': '3181b7d7-77cc-42a8-96c9-ab6c18e282ae', 'date': '2024-06-26'}
{'id': '40ceee04-b1b9-4846-ba1a-b4afa2df7111', 'idHomeTeam': 'b32c045d-8217-44d5-94be-a19beffbaefa', 'idAwayTeam': '547fc83b-b29d-4480-9ac5-f7cfeb3c02d2', 'idStadium': '2ae81544-c13f-442f-b332-6887628e9d6a', 'date': '2024-06-26'}
{'id': 'abd2ab53-d4e9-4dc2-86d3-57082dfd1296', 'idHomeTeam': '05feedec-06d4-4a90-b7cb-ed7de55d8ec2', 'idAwayTeam': 'f3d792fb-e07d-46ed-a1d4-ca24a876fcbf', 'idStadium': '2ae81544-c13f-442f-b332-6887628e9d6a', 'date': '2024-06-26'}
